path,mean_L,mean_a,mean_b
Q:\Meme_Repository\1410437856061.png,163.7355425709516,118.77484418475237,137.74690038953813
Q:\Meme_Repository\1410437986154.jpg,98.28802951388889,130.5946629050926,154.4748288001543
Q:\Meme_Repository\1410438032765.png,203.7238757062147,120.26828531073447,135.03854237288135
Q:\Meme_Repository\1410438780265.jpg,103.77501685929666,132.6310101931975,140.39917806755736
Q:\Meme_Repository\1410438977115.jpg,195.36614612590347,124.33698835336854,141.15113751263902
Q:\Meme_Repository\1410548370089.jpg,117.31693768168604,131.67863144985466,132.55328715479652
Q:\Meme_Repository\1410549518980.jpg,83.43997654456533,126.75489070765545,127.66170526000599
Q:\Meme_Repository\1410549884249.jpg,61.32123618382781,128.0,128.0
Q:\Meme_Repository\1410552120465.jpg,226.88036652569525,128.0,128.0
Q:\Meme_Repository\1410554057279.jpg,153.46455588688193,141.9172802654413,139.8267512771002
Q:\Meme_Repository\1410554744395.jpg,116.62830822821842,130.74413193452258,130.43248152835042
Q:\Meme_Repository\1410555854684.jpg,215.40783776954177,129.70527712264152,135.87564647911051
Q:\Meme_Repository\1410675281468.png,226.94920320486744,127.8601584746812,125.65418560639559
Q:\Meme_Repository\1410675656058.jpg,193.582796701974,129.99252602912856,123.81290999638902
Q:\Meme_Repository\1410677450813.jpg,223.5405266901141,132.1231807951988,133.5801034674253
Q:\Meme_Repository\1410678558671.jpg,233.04512868305972,128.1420806748393,129.40592515592516
Q:\Meme_Repository\1410702007049.jpg,83.55806679949664,128.27989932885907,143.50642093120805
Q:\Meme_Repository\1410829906874.jpg,107.35398007968128,137.43770517928286,136.9304621513944
Q:\Meme_Repository\1410834429868.png,176.03295572916667,137.95401692708333,138.47652994791667
Q:\Meme_Repository\1410834454475.jpg,145.02800909308448,131.16217994735584,134.63417683656377
Q:\Meme_Repository\1410834849758.jpg,130.62234477124184,127.34007165212898,134.50026056684928
Q:\Meme_Repository\1410836649490.jpg,160.34666458333334,133.91361666666666,127.98250833333333
Q:\Meme_Repository\1410836687258.jpg,124.10429583333334,129.37898333333334,125.8646125
Q:\Meme_Repository\1410836721410.jpg,142.140544,121.07737066666667,127.35642666666666
Q:\Meme_Repository\1410836754200.jpg,71.81401343599033,126.82601524758454,141.0776985205314
Q:\Meme_Repository\1410836760106.jpg,181.11905105105106,132.16526126126126,131.61837837837837
Q:\Meme_Repository\1410836793094.jpg,127.68581981981983,130.35759159159159,134.94547147147148
Q:\Meme_Repository\1410836839453.jpg,128.51116245681726,125.42000538382162,133.2724482928799
Q:\Meme_Repository\1410836840666.jpg,207.83489814814814,127.99150555555556,128.0048185185185
Q:\Meme_Repository\1410836880353.jpg,130.83150146842877,128.743906020558,132.5395925110132
Q:\Meme_Repository\1410836915427.jpg,73.33869892473118,126.20819892473118,128.35787096774195
Q:\Meme_Repository\1410836944379.jpg,76.24628522975047,130.15989663248,129.89916821448762
Q:\Meme_Repository\1410836947176.jpg,50.70608911517298,138.3701315539814,147.05009170830434
Q:\Meme_Repository\1410836976460.jpg,118.99019166666666,127.656675,114.59738333333334
Q:\Meme_Repository\1410836978005.jpg,134.17141768707484,129.95523265306122,130.32800544217687
Q:\Meme_Repository\1410837028429.jpg,92.50720116618076,127.96603498542274,129.67937026239068
Q:\Meme_Repository\1410837060596.jpg,94.43171717171717,130.228632996633,130.7303367003367
Q:\Meme_Repository\1410837076873.jpg,165.74272933467742,126.01273626512096,127.88658014112903
Q:\Meme_Repository\1410837098332.jpg,185.9227168234065,128.1273702542668,125.55425983977707
Q:\Meme_Repository\1410837755434.jpg,84.1274256993007,128.67021051864802,129.2400386072261
Q:\Meme_Repository\1411192660273.jpg,241.95715727911997,124.82984288333449,136.87920699018312
Q:\Meme_Repository\1411193147728.jpg,190.49630236220472,138.91577952755907,140.49734330708662
Q:\Meme_Repository\1411349746845.jpg,94.19044733796296,134.15754108796295,137.2742528935185
Q:\Meme_Repository\1411415740489.jpg,85.8178585785496,129.1178786782441,145.73619150988904
Q:\Meme_Repository\1411433778327.jpg,88.11027045454546,127.41159791666666,131.9463984848485
Q:\Meme_Repository\1411436244648.jpg,154.1065505642361,132.45888020833334,119.76702365451389
Q:\Meme_Repository\1411701934628.jpg,145.34293958333333,129.5204875,134.35399166666667
Q:\Meme_Repository\1411960996090.jpg,152.81155655740392,130.04355332430396,123.27128753290444
Q:\Meme_Repository\1411961667751.jpg,227.84654157366072,128.21445731026785,136.34460379464286
Q:\Meme_Repository\1411984466091.jpg,155.25619963369962,133.6112851037851,126.53352564102565
Q:\Meme_Repository\1412120111189.png,187.50200692041523,126.72505190311419,131.4050553633218
Q:\Meme_Repository\1412125237185.jpg,133.55595788047447,129.95311487090237,130.24115355639006
Q:\Meme_Repository\1412125239570.jpg,131.8620234375,128.198564453125,152.167361328125
Q:\Meme_Repository\1412217526626.jpg,124.88796507936507,130.87874603174603,134.3531523809524
Q:\Meme_Repository\1412219807273.png,87.26582007343941,140.97839045287637,140.22207466340268
Q:\Meme_Repository\1412308230113.jpg,216.87493693159706,130.74895394299347,122.34745104201268
Q:\Meme_Repository\1412308295650.jpg,175.53103978195315,135.8539607979587,146.16096903270702
Q:\Meme_Repository\1412309491499.jpg,205.6423175338126,132.26196641078755,133.63757666219894
Q:\Meme_Repository\1412431174821.png,24.4952294921875,127.9714521484375,127.9429755859375
Q:\Meme_Repository\1412431187356.jpg,35.91720784505208,132.27492594401042,123.8174929470486
Q:\Meme_Repository\1412431272361.jpg,107.65517554012345,127.5603621720679,126.43572820216049
Q:\Meme_Repository\1412431342978.jpg,57.478412678440705,129.18252996888725,129.97731029236823
Q:\Meme_Repository\1412432287452.jpg,159.73763411458333,128.48775390625,140.41472829861112
Q:\Meme_Repository\1412432292510.jpg,108.28138580246913,131.34080555555556,130.74080246913582
Q:\Meme_Repository\1412432529158.jpg,110.11520108122363,131.7649775843882,126.77020108122363
Q:\Meme_Repository\1412432615265.jpg,137.46593366506968,131.87405524048143,144.81727799274128
Q:\Meme_Repository\1412432656424.jpg,142.42690286351166,129.09579689643348,128.81439278978053
Q:\Meme_Repository\1412432692417.jpg,22.704290436126374,130.26191835508243,130.14921731913918
Q:\Meme_Repository\1412432724361.jpg,120.34850868055555,130.01820920138888,128.6866293402778
Q:\Meme_Repository\1412432729202.jpg,33.62284593519045,133.99405836649612,136.7934577727244
Q:\Meme_Repository\1412432764492.jpg,68.69418416341146,133.8461161295573,129.38285034179688
Q:\Meme_Repository\1412432809922.jpg,77.93828993055556,134.18405767746913,120.22030140817901
Q:\Meme_Repository\1412432861027.jpg,103.23740283203125,125.30033862304687,115.00037158203125
Q:\Meme_Repository\1412432933749.jpg,55.054835956057005,133.36814726840856,129.8098953384798
Q:\Meme_Repository\1412570844883.png,182.32760250502187,146.28863915450276,130.68717365389477
Q:\Meme_Repository\1412803959401.jpg,117.23715425097912,129.21622827594646,139.39476965363903
Q:\Meme_Repository\1412817324809.jpg,171.5198359120323,128.1967595971391,137.58907154673284
Q:\Meme_Repository\1413004287877.jpg,74.20054861111112,123.73594791666666,132.89470789930556
Q:\Meme_Repository\1413006797518.png,142.88108061661768,126.17580770187062,126.02635726090708
Q:\Meme_Repository\1413007447202.png,232.82176992950107,129.59469055043385,128.61132509877595
Q:\Meme_Repository\1413008907285.jpg,142.06164946991456,126.73620182250116,129.63246463142218
Q:\Meme_Repository\1413117120556.jpg,150.82294560185184,132.3389178240741,140.61359953703703
Q:\Meme_Repository\1413119401233.jpg,134.58549329969617,146.00636121961804,150.41476270887586
Q:\Meme_Repository\1413119850868s.jpg,156.69162790697675,135.95032558139536,149.58148837209302
Q:\Meme_Repository\1413119911559.jpg,99.83807432862416,130.67643502609138,146.90575283186968
Q:\Meme_Repository\1413120118271.png,121.53266163793103,140.0149353448276,144.74136853448275
Q:\Meme_Repository\1413120766253.png,101.77863140044668,137.03865083960625,140.59196376871537
Q:\Meme_Repository\1413120853599.png,132.00885858508875,152.2373291747035,133.75423435677058
Q:\Meme_Repository\1413120916867.jpg,125.09092823419017,138.13849257072772,138.44532779678298
Q:\Meme_Repository\1413121152571.png,155.03132784542822,130.01837626291365,159.4152559652517
Q:\Meme_Repository\1413121390260.png,135.10633697079973,141.9974667939038,149.81211917440885
Q:\Meme_Repository\1413122516230.jpg,71.3884341931217,127.49406533446712,137.82305248488285
Q:\Meme_Repository\1413122658897.jpg,167.81334028139656,131.65541948931735,135.67376758728506
Q:\Meme_Repository\1413122689535.jpg,158.92774543940024,127.38993086214077,130.77157251145357
Q:\Meme_Repository\1413122913484.jpg,214.80326984126984,129.7587523809524,129.30971428571428
Q:\Meme_Repository\1413122943860.jpg,191.25932727258987,130.82791871651287,127.04800229733917
Q:\Meme_Repository\1413123065143.jpg,117.12983144134847,134.00040591675267,139.6631097351221
Q:\Meme_Repository\1413123870704.jpg,193.62461793308563,135.81761025527598,134.57496041092634
Q:\Meme_Repository\1413123960.jpg,185.27500141007926,127.31980879325418,144.54782213260384
Q:\Meme_Repository\1413123960301.jpg,100.68156087239583,128.56120768229167,126.49328125
Q:\Meme_Repository\1413124060538.png,198.1399027930485,125.44207961509287,153.21108099584922
Q:\Meme_Repository\1413187729059.jpg,210.12060808080807,128.33114848484848,127.95660707070707
Q:\Meme_Repository\1413188182255.jpg,221.8657369085998,130.74973860765007,135.7899984752113
Q:\Meme_Repository\1413188230612.jpg,182.0730467032967,132.1067967032967,132.4631346153846
Q:\Meme_Repository\1413190225600.jpg,133.2073046875,132.22854817708333,127.75779947916666
Q:\Meme_Repository\1413190495321.png,224.1314345991561,131.04146888185653,136.73193565400845
Q:\Meme_Repository\1413190527030.png,75.63255082791868,127.83302991286642,133.90476090666826
Q:\Meme_Repository\1413190596938.jpg,134.81175346392737,138.8198152123443,142.03604234100254
Q:\Meme_Repository\1413190728034.jpg,158.89693959731542,129.33175503355704,132.30535906040268
Q:\Meme_Repository\1413190894137.jpg,192.6153618992954,130.65506642376448,137.44075931887565
Q:\Meme_Repository\1413191078983.jpg,220.5196491432417,133.25369924591465,126.93722498317544
Q:\Meme_Repository\1413193459122.jpg,126.57686904761904,126.21485430839002,104.95235034013605
Q:\Meme_Repository\1413193687380.jpg,19.99418065977306,127.28458051183505,123.4673973965959
Q:\Meme_Repository\1413195947273.jpg,41.368660400390624,136.15833447265624,144.61383837890625
Q:\Meme_Repository\1413196168810.jpg,172.946734375,103.18858637152778,184.05701171875
Q:\Meme_Repository\1413196402985.png,150.60353296446013,137.88932847873247,119.43068337108072
Q:\Meme_Repository\1413196439743.jpg,129.12620458984375,131.93059985351562,125.42667065429687
Q:\Meme_Repository\1413196762913.jpg,103.01193737884385,135.26712389302318,137.1946216982188
Q:\Meme_Repository\1413196883710.png,95.1327149542974,124.14419672273593,148.76327451250154
Q:\Meme_Repository\1413196989854.jpg,112.32557279333962,133.3815946651467,144.21936991974678
Q:\Meme_Repository\1413197141187.jpg,142.16157343580417,132.29128508990644,138.80986184036843
Q:\Meme_Repository\1413197818905.jpg,95.44175070028011,147.5799719887955,147.84987394957983
Q:\Meme_Repository\1413198781778.png,7.96285176532004,128.3213984118901,127.21381266649436
Q:\Meme_Repository\1413239653694.jpg,191.07552408346334,118.6350648400936,158.4523181552262
Q:\Meme_Repository\1413240261696.png,197.28417263667654,130.37186974705835,130.55729008244617
Q:\Meme_Repository\1413327090822.jpg,172.96917568897638,136.69566190944883,141.57175442913385
Q:\Meme_Repository\1413359591605.png,127.09660759389695,144.01706470624472,127.92160708051831
Q:\Meme_Repository\1413359604738.jpg,148.300005540851,114.72602281978169,144.4352142391346
Q:\Meme_Repository\1413361781630.jpg,130.20139733333335,120.94783466666667,152.18894933333334
Q:\Meme_Repository\1413362013398.jpg,86.70852272727272,130.9329785954786,133.1790343915344
Q:\Meme_Repository\1413364376347.jpg,140.11476953907817,131.6758356713427,142.60502605210422
Q:\Meme_Repository\1413365725610.jpg,111.98727487325047,133.69074071419357,143.4595476678565
Q:\Meme_Repository\1413370950095.jpg,71.32726369903025,129.8550005841804,132.62754410561982
Q:\Meme_Repository\1413434322555.png,214.16224979545322,129.8285309888376,134.8816700514289
Q:\Meme_Repository\1413434631238.png,173.38311817140303,129.30866376058344,132.3753974907089
Q:\Meme_Repository\1413434732802.jpg,82.8830578291339,132.34959610549404,125.92924980830614
Q:\Meme_Repository\1413434829635.jpg,192.15946645540043,135.62009225860155,135.18832875752088
Q:\Meme_Repository\1413434844894.jpg,204.15734149746368,125.62710196409073,143.47618349942638
Q:\Meme_Repository\1413461273194.jpg,83.04340667040358,143.2385369955157,140.41235986547085
Q:\Meme_Repository\1413462193340.jpg,58.71719357638889,128.4901271701389,131.94641710069445
Q:\Meme_Repository\1413633643224.png,26.03421481019673,127.4438110453034,115.14707935023553
Q:\Meme_Repository\1413633727105.jpg,124.5258559992284,117.69185667438272,146.75534239969136
Q:\Meme_Repository\1413633838296.jpg,134.08710841049384,128.05493103780864,130.0344955632716
Q:\Meme_Repository\1413633849999.jpg,131.44956388338616,123.35377354634608,125.24743793410701
Q:\Meme_Repository\1413633879098.jpg,128.03726284163005,118.81459991916789,133.00326474042217
Q:\Meme_Repository\1413633910805.jpg,95.11135323801514,114.09609041211102,132.58071993271656
Q:\Meme_Repository\1413633910805a.jpg,89.92430801687763,121.03942616033756,145.519111814346
Q:\Meme_Repository\1413634153526.jpg,76.5659280478395,134.31149266975308,102.56864293981481
Q:\Meme_Repository\1413634317166.jpg,59.51130160108025,130.63310233410493,116.02289882330247
Q:\Meme_Repository\14136343171663.jpg,73.82864705403645,134.66686442057292,139.33764078776042
Q:\Meme_Repository\1413634538515.jpg,82.19181727430555,135.0802248263889,122.49513671875
Q:\Meme_Repository\1413634866015.jpg,142.62302734375,128.2360275607639,109.26536566840278
Q:\Meme_Repository\1413634968350.jpg,120.76239824459877,137.79246576003086,135.02607542438273
Q:\Meme_Repository\1413635113020.jpg,82.5043716242284,124.59027970679013,131.07358844521605
Q:\Meme_Repository\1413635914642.jpg,115.63206836267182,128.34917108753316,129.35872920183266
Q:\Meme_Repository\1413635957110.jpg,99.27527569773619,149.7098883098541,134.4013090853833
Q:\Meme_Repository\1413636173573.jpg,133.20883194795715,131.95553699062472,138.30491245872165
Q:\Meme_Repository\1413636218905.jpg,150.27211041666666,131.69798802083332,131.36940052083332
Q:\Meme_Repository\1413636573107.png,166.85886473429952,133.0812922705314,141.3893538647343
